Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count,author_id,context_annotations
2022-10-20 16:30:11+00:00,1583133490307923977,Save Hawaiian Forest Birds From Extinction https://t.co/MEyuhLflVn,,0,0,0,1028805173412429824,[]
2022-10-20 16:28:15+00:00,1583133001596010507,"#MalariaNews | In Pakistan 🇵🇰, more than 3.4 million suspected malaria cases from January - August 2022, compared with the 2.6 million suspected cases reported in 2021.

Read more : https://t.co/eFaQeC5uH7

@WHO 
#MeetTheTarget #FightForWhatCounts #TheBeatContinues #PowerOfMore https://t.co/b252SMvNxw",,0,0,1,1105141638249238528,[]
2022-10-20 16:27:30+00:00,1583132812932022276,"As with other diseases that have put a tremendous burden on humanity. Such as malaria and certain genetic traits (e.g. Thalassemia, G6PD, Sicklecell), the biological function is not always fully understood but often association with structure of red blood cells https://t.co/IWC0INiIHy",,0,1,3,114968487,[]
2022-10-20 16:27:25+00:00,1583132790995836929,"#MalariaNews | In Pakistan 🇵🇰, more than 3.4 million suspected malaria cases from January - August 2022, compared with the 2.6 million suspected cases reported in 2021.

Read more : https://t.co/8nejuszq7G

@WHO 
#MeetTheTarget #FightForWhatCounts #TheBeatContinues #PowerOfMore https://t.co/y0c99m4OPp",,0,0,1,1157175515888967680,[]
2022-10-20 16:23:08+00:00,1583131713583972354,"What is wrong with Nigerian Medical Diagnostic laboratories?
I requested for Malaria Test and they did both MP and Widal Test. Did I tell them I'm having enteric/typhoid fever or that's another way of collecting money in name of you have malaria and typhoid ?",,0,0,0,578966647,[]
2022-10-20 16:22:30+00:00,1583131553395539969,A microtubule associated protein is essential for malaria parasite transmission https://t.co/seZNSJZlAX,,0,0,0,1491837967555563531,[]
2022-10-20 16:21:42+00:00,1583131353851142144,"Lack of etiquette, disrespect, arrogance and lot more is due to poor parenting hakunanga mambo ya Aries,Libra,Leo, cancer malaria ama homa fix yourself! https://t.co/Vl7tR9mE6b",,0,0,0,1563401929530941440,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847868745150119936', 'name': 'Family & relationships', 'description': 'Hobbies and interests'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1068226612380889088', 'name': 'Horoscope', 'description': 'Horoscope'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1138831355654037504', 'name': 'Aries', 'description': 'Aries'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1138864492526297093', 'name': 'Cancer', 'description': 'Cancer'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1138872470562172928', 'name': 'Leo', 'description': 'Leo'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1138886683229806592', 'name': 'Libra', 'description': 'Libra'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847868745150119936', 'name': 'Family & relationships', 'description': 'Hobbies and interests'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1068226612380889088', 'name': 'Horoscope', 'description': 'Horoscope'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1138831355654037504', 'name': 'Aries', 'description': 'Aries'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1138864492526297093', 'name': 'Cancer', 'description': 'Cancer'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1138872470562172928', 'name': 'Leo', 'description': 'Leo'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1138886683229806592', 'name': 'Libra', 'description': 'Libra'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847547282010497024', 'name': 'Parenting', 'description': 'Family and parenting'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1278066760814456832', 'name': 'Family'}}]"
2022-10-20 16:19:41+00:00,1583130845077917697,"#CallingAllScientists, especially early-career #malariaologists. Join us virtually next Friday, October 28th, at the #FMR2022. This exciting and interesting symposium is not to be missed! Register here to attend: https://t.co/DA1yOXunK9 https://t.co/4eQPkonS6y",,0,0,0,65679343,[]
2022-10-20 16:16:02+00:00,1583129926118428672,Get your Kedi malaria drugs at affordable price https://t.co/q0R8oKIfgA,,0,0,0,1573681932981911552,[]
2022-10-20 16:14:56+00:00,1583129649437020160,PRO/EDR&gt; Malaria - Pakistan: increase associated with widespread flooding  https://t.co/ib73jzfnib,,0,0,0,37011196,[]
2022-10-20 16:12:33+00:00,1583129052613050368,Cerebral palsy is more frequent and has higher mortality rates in Uganda than in high-income countries. The underlying brain injury that takes place during early infancy is likely caused by cerebral malaria and death if not attended to. https://t.co/ZKUTpvmtMt,,0,0,2,981806356167524354,[]
