,bauchi,benin,bida,calabar,enugu,gusau,ibadan,ikeja,jos,kaduna,kano,katsina,lagos,lokoja,maiduguri,minna,nguru,ondo,oshogbo,sokoto,warri,yelwa,yola,zaria
2022-03-15,0.0,0.5,0.0,0.5,0.0,0.0,1.5,0.9,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.8,1.9,0.2,0.0,1.4,0.0,0.0,0.0
2022-03-16,0.0,0.7,0.0,0.7,0.1,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,1.2,0.4,0.0,1.1,0.0,0.0,0.0
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0
2022-03-18,0.0,0.3,0.0,0.3,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.8,0.0,0.0,0.0
2022-03-19,0.0,0.3,0.0,0.2,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.8,0.0,0.0,0.0
2022-03-20,0.0,0.9,0.0,0.8,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.3,0.8,0.0,0.0,2.2,0.0,0.0,0.0
2022-03-21,0.0,0.6,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.4,0.0,0.0,0.0
2022-03-22,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0
2022-03-23,0.0,1.2,0.0,1.2,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.1,0.9,0.1,0.0,1.6,0.0,0.0,0.0
2022-03-24,0.0,1.1,0.1,2.1,0.3,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.6,1.2,0.9,0.0,1.7,0.0,0.0,0.0
2022-03-25,0.0,0.3,0.0,0.2,0.1,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.4,0.3,0.4,0.0,1.0,0.0,0.0,0.0
2022-03-26,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.1,0.0,1.0,0.0,0.0,0.0
2022-03-27,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.7,0.0,0.0,0.0
2022-03-28,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.2,0.1,0.0,0.3,0.0,0.0,0.0
2022-03-29,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.7,0.0,0.0,0.0
2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2022-03-31,0.0,0.2,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.2,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.1,0.0,1.5,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,4.3,4.2,0.0,0.5,0.0,0.0,0.0
2022-04-02,0.0,1.0,0.0,1.2,0.2,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03,0.0,0.8,0.0,1.4,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.2,0.6,0.5,0.0,2.0,0.0,0.0,0.0
2022-04-04,0.0,0.3,0.2,3.0,0.6,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,1.1,1.6,0.5,0.0,1.5,0.0,0.0,0.0
2022-04-05,0.0,0.0,0.0,0.6,0.1,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2022-04-06,0.0,0.1,0.0,2.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0
2022-04-07,0.0,1.1,0.0,1.2,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.8,2.4,0.0,0.3,0.0,0.0,0.0
2022-04-08,0.0,2.1,0.1,2.3,1.3,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.1,4.2,0.0,0.0,0.9,1.8,0.8,0.0,1.2,0.0,0.0,0.0
2022-04-09,0.0,0.3,0.1,7.5,32.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,1.2,0.0,0.0,2.3,0.1,0.4,0.0,8.0,0.0,0.0,0.0
2022-04-10,0.0,0.0,0.1,0.0,0.4,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.2,3.1,0.0,0.0,0.0,0.5,2.8,0.0,0.0,0.0,0.1,0.0
2022-04-11,0.0,1.8,4.5,0.9,0.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.9,0.0,2.2,1.2,0.0,2.3,0.0,0.0,0.0
2022-04-12,0.1,0.5,0.8,1.3,1.4,0.0,0.4,0.5,1.6,0.0,0.0,0.0,0.5,2.8,0.0,0.6,1.6,2.7,1.2,0.0,3.5,1.6,0.0,0.0
2022-04-13,0.6,1.5,2.8,1.8,0.0,0.0,1.1,0.0,6.5,0.6,0.0,0.0,0.0,0.8,0.0,1.5,0.7,1.1,1.1,0.0,1.5,6.5,2.2,0.0
2022-04-14,0.0,1.9,1.0,3.4,0.0,0.0,1.4,0.5,5.1,6.0,0.0,0.1,0.5,0.1,0.0,1.1,3.4,0.3,1.6,0.0,3.8,5.1,0.2,0.3
2022-04-15,0.8,0.2,5.2,2.8,1.0,0.2,3.6,0.3,6.6,1.1,0.1,0.0,0.3,0.3,0.0,1.1,0.1,0.5,0.8,1.5,3.1,6.6,3.1,7.5
