Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count
2022-03-10 15:28:13+00:00,1501943012334600197,Ending Malaria will help build a healthier and more secure world. https://t.co/KiU862bWkV,,2,0,3
2022-03-10 15:25:27+00:00,1501942315555823622,"Tomorrow in #Belonging we speak with @FaithOsier  #ExecutiveDirector @IAVI Human #Immunology Laboratory #Professor of #Malaria Immunology and #President of @iuis_online

Join us at 12:30pm !

#ImperialAsOne x #Belonging x #ImperialWomen

https://t.co/Xcc3ZkRel7 https://t.co/RCc0NPsHHB",,1,0,1
2022-03-10 15:25:02+00:00,1501942209804849155,"Integrating gender work in the fight to #EndMalaria is critical.
 
@USAID @RTI_Intl StopPalu+ uses the UN Guinea CDCS 2020 Gender Analysis and frontline health workers to reach women and girls with malaria prevention and treatment in Guinea 🇬🇳

 ➡️ https://t.co/3Nq5e0E3xZ",,0,0,1
2022-03-10 15:24:15+00:00,1501942013222031366,So this is kind of fun... I'm totally with @IndianaUniv on never stopping the research in malaria and sickle cell disease in African children until we get to answers that will improve health and get rid of disease. https://t.co/SSdhjoodji,,0,0,0
2022-03-10 15:21:03+00:00,1501941208477667338,NOINO MY GASSY YOU WANT. ZAP THE RIO MARY COCOANUT IN MOTOR FART FART GREEN MUG APEX LEGENDS SURFING HACKING XENEIIIT LOVE TRUMP TURD SITTING IN THE QUIET CHARLIE BROWN BADMINTON SUBSCRIBE WEBDESIGN KETOGENIC JEER. YOU LOSE. TO RELOCATE ANYTIME MALARIA TAXES MEEKY TREADMILL,,0,0,1
2022-03-10 15:16:25+00:00,1501940041668386825,"In the late 1960s, new strains of drug-resistant malaria evolved. 

The global medical community struggled to respond, and the disease quickly spread, killing millions of people. 

Enter, Tu Youyou.  #HeroesOfProgress

Read more: https://t.co/53GNPoy45y https://t.co/yILlByvB9f",,1,0,9
2022-03-10 15:09:07+00:00,1501938205494431745,Lol abeg i come buy malaria melehsin https://t.co/Bn2DihWIS9 https://t.co/z1IGyG5jYw,,0,0,0
2022-03-10 15:07:48+00:00,1501937873511063568,Malaria Team is representing CPC at the Lauching Ceremony  of the Stop Malaria official advocacy Campaign by the first Lady and the Prime Minister. Exposition  of innovation  tools for Malaria diagnostic. https://t.co/dZjWgco09t,,0,0,0
2022-03-10 14:56:25+00:00,1501935011171233798,"Read our #Uganda 🇺🇬capacity statement
👉https://t.co/OgTb1p4c1e to find out more about our work supporting @MinofHealthUG to trial new interventions such as seasonal malaria chemoprevention and integrated community case management data improvement through mobile health (m-health) https://t.co/RLRXFw13rz",,0,0,1
2022-03-10 14:55:24+00:00,1501934754542751745,"This is a local herb best for curing Flu, Malaria and Stomach arch..
We call #FodeTiMelo #DikoriTiMelo or #Manjenje..

How do you call it in your mother tongue!! ✌✌

#SSOT..🇸🇸🇸🇸
#Humble..🙏🙏 https://t.co/unSv26utQP",{'place_id': '0e5a1aefca94d000'},2,1,4
2022-03-10 14:54:38+00:00,1501934561109807111,"More malaria infections now found in African communities with irrigated rice fields

For more up-to-date medical headlines, visit https://t.co/8ugyCQ8UlZ
#MedicalNews #MedTwitter #MedEd #MedNews
https://t.co/hYLu2M9xMY",,0,0,0
2022-03-10 14:49:56+00:00,1501933376990703625,"Malaria no be your mate ooo... 
Naso I clam hard man! Hard man go office now e Don nack me go back house... https://t.co/LgsVVrjKQF",,0,0,2
2022-03-10 14:48:38+00:00,1501933051118452740,"Motivation to test, treat, and report malaria cases: a quantitative assessment among private sector providers in the Greater Mekong Subregion https://t.co/hkcNZ69B2A",,2,0,1
2022-03-10 14:48:37+00:00,1501933045678366730,Addressing child health inequity through case management of under-five malaria in Nigeria: an extended cost-effectiveness analysis https://t.co/MiJvruimV3,,1,0,0
2022-03-10 14:48:36+00:00,1501933040234221572,Evaluating malaria prevalence and land cover across varying transmission intensity in Tanzania using a cross-sectional survey of school-aged children https://t.co/RFDKUeYKju,,2,0,1
2022-03-10 14:48:34+00:00,1501933034919976966,Leveraging Mann–Whitney U test on large-scale genetic variation data for analysing malaria genetic markers https://t.co/gLCyfw3RVt,,1,0,0
